IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.01,,,0,,0.15,0.008 [0 – 0.15],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.01,,,0,,0.14,0.009 [0 – 0.14],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.01,,,0,,0.14,0.009 [0 – 0.14],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.02,,,0,,0.26,0.015 [0 – 0.26],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.02,,,0,,0.15,0.016 [0 – 0.15],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.03,,,0,,0.11,0.027 [0 – 0.11],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.03,,,0,,0.13,0.028 [0 – 0.13],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.03,,,0,,0.22,0.028 [0 – 0.22],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.03,,,0,,0.26,0.029 [0 – 0.26],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,NER,Niger,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.03,,,0,,0.14,0.034 [0 – 0.14],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.04,,,0,,0.14,0.035 [0 – 0.14],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.04,,,0,,0.16,0.044 [0 – 0.16],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.05,,,0,,0.39,0.049 [0 – 0.39],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,COM,Comoros,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.06,,,0,,0.18,0.057 [0 – 0.18],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.06,,,0,,0.2,0.061 [0 – 0.2],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.06,,,0,,0.24,0.063 [0 – 0.24],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.07,,,0.0002,,0.2,0.066 [0.000 2 – 0.2],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.07,,,0,,0.22,0.072 [0 – 0.22],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.10,,,0,,0.27,0.098 [0 – 0.27],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.10,,,0,,0.48,0.1 [0 – 0.48],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.11,,,0,,0.3,0.11 [0 – 0.3],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,SEN,Senegal,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.11,,,0,,0.3,0.11 [0 – 0.3],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.11,,,0,,0.46,0.11 [0 – 0.46],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,WPR,Western Pacific,Country,TON,Tonga,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.13,,,0,,0.4,0.13 [0 – 0.4],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,NER,Niger,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.13,,,0,,0.52,0.13 [0 – 0.52],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,GIN,Guinea,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.13,,,0.002,,0.34,0.13 [0.002 – 0.34],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.14,,,0,,0.57,0.14 [0 – 0.57],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,DZA,Algeria,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.14,,,0.011,,0.32,0.14 [0.011 – 0.32],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.15,,,0,,0.56,0.15 [0 – 0.56],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.15,,,0.001,,0.39,0.15 [0.001 – 0.39],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.15,,,0.005,,0.38,0.15 [0.005 – 0.38],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.17,,,0.016,,0.38,0.17 [0.016 – 0.38],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.18,,,0,,0.81,0.18 [0 – 0.81],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.19,,,0,,0.81,0.19 [0 – 0.81],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.20,,,0,,0.73,0.2 [0 – 0.73],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.20,,,0,,0.76,0.2 [0 – 0.76],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,WPR,Western Pacific,Country,MYS,Malaysia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.21,,,0,,0.48,0.21 [0 – 0.48],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,NER,Niger,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.23,,,0,,0.89,0.23 [0 – 0.89],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.24,,,0,,0.78,0.24 [0 – 0.78],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EUR,Europe,Country,TJK,Tajikistan,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.24,,,0.02,,0.48,0.24 [0.02 – 0.48],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,COM,Comoros,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.25,,,0,,0.79,0.25 [0 – 0.79],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,WPR,Western Pacific,Country,KIR,Kiribati,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.26,,,0,,0.74,0.26 [0 – 0.74],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.26,,,0,,0.97,0.26 [0 – 0.97],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,SLE,Sierra Leone,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.26,,,0.0006,,0.81,0.26 [0.000 6 – 0.81],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.26,,,0.054,,0.57,0.26 [0.054 – 0.57],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,MDV,Maldives,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.27,,,0.024,,0.58,0.27 [0.024 – 0.58],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.31,,,0,,0.91,0.31 [0 – 0.91],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.32,,,0,,1.21,0.32 [0 – 1.21],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,GMB,Gambia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.34,,,0.054,,0.69,0.34 [0.054 – 0.69],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.34,,,0.058,,0.69,0.34 [0.058 – 0.69],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,MDG,Madagascar,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.35,,,0.071,,0.71,0.35 [0.071 – 0.71],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2019,true,Sex,Male,MLE,,,,,,,,,,0.36,,,0,,1.31,0.36 [0 – 1.31],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,AFR,Africa,Country,ERI,Eritrea,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.37,,,0.076,,0.73,0.37 [0.076 – 0.73],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,WPR,Western Pacific,Country,TON,Tonga,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.38,,,0,,1.16,0.38 [0 – 1.16],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.40,,,0,,1.09,0.4 [0 – 1.09],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,SEAR,South-East Asia,Country,TLS,Timor-Leste,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,0.40,,,0.004,,1.03,0.4 [0.004 – 1.03],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
SA_0000001688,"Alcohol, total per capita (15+) consumption (in litres of pure alcohol) (SDG Indicator 3.5.2)",text,WPR,Western Pacific,Country,TUV,Tuvalu,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,0.40,,,0.1,,0.76,0.4 [0.1 – 0.76],,WHO Global Information System on Alcohol and Health (GISAH),EN,2023-03-20 00:00:00
